Evento,Estacion
2014_03_27 02_27_53_M2_1,GO01
2014_03_19 16_59_06_M2_9,GO01
2014_02_21 18_17_30_M2_5,PB06
2014_08_05 17_13_06_M3_0,GO01
2014_03_19 04_49_50_M3_6,GO03
2014_06_20 15_43_19_M2_4,GO01
2014_06_21 07_22_34_M2_7,PB09
2014_04_27 03_15_47_M2_3,GO01
2015_01_26 01_38_24_M2_4,CO02
2014_06_09 13_57_28_M3_7,PB09
2014_05_03 15_55_19_M2_5,GO01
2014_09_23 03_43_38_M2_8,GO01
2015_08_22 08_24_39_M3_3,GO03
2020_10_11 07_06_13_M3_8,GO01
2014_05_01 09_39_40_M2_5,PB06
2014_02_28 20_36_36_M2_9,PB14
2015_04_07 12_15_08_M3_3,GO03
2014_04_02 14_10_49_M3_5,GO01
2014_04_11 19_08_34_M3_1,GO01
2014_12_16 18_50_12_M2_6,GO03
2015_03_13 00_44_04_M3_8,PB06
2014_02_03 12_36_27_M2_8,GO03
2014_04_19 18_21_54_M2_9,PB06
2014_03_18 17_31_58_M2_5,GO01
2015_07_19 09_18_21_M3_5,CO02
2015_05_12 05_50_13_M2_9,PB06
2014_04_01 01_06_37_M2_9,GO01
2014_04_05 13_36_21_M3_9,GO01
2015_03_01 07_46_24_M3_2,PB14
2015_08_01 18_11_01_M2_6,PB06
2014_07_08 17_19_43_M2_8,GO01
2014_03_19 21_15_22_M3_7,GO01
2014_03_17 15_48_56_M2_5,GO01
2014_05_06 15_03_56_M2_7,GO01
2014_04_28 11_03_49_M3_5,GO01
2014_06_10 06_14_24_M3_5,GO01
2015_06_11 12_04_31_M2_3,PB09
2015_08_01 10_19_06_M3_4,GO03
2014_04_19 12_57_15_M2_8,GO01
2014_03_26 11_29_41_M2_4,GO01
2015_04_07 21_16_22_M2_8,CO02
2014_03_19 16_35_31_M2_2,GO01
2014_01_08 07_13_04_M2_1,PB14
2014_02_04 11_44_28_M3_6,PB09
2014_06_04 17_27_40_M2_4,GO01
2014_03_27 02_32_21_M2_4,GO01
2014_04_04 13_41_28_M3_9,GO01
2014_10_05 01_14_24_M2_6,GO01
2014_08_27 21_10_00_M2_6,GO01
2014_05_27 20_54_27_M2_6,GO01
2014_07_22 04_27_46_M2_9,PB09
2014_05_20 09_19_05_M2_4,GO01
2014_03_14 15_31_02_M3_2,GO03
2014_03_10 08_59_25_M3_5,PB06
2014_06_14 16_11_29_M3_9,CO02
2014_04_19 18_39_51_M2_7,GO01
2014_03_24 00_42_03_M2_7,GO01
2015_01_05 22_09_18_M3_3,CO01
2014_06_20 18_05_34_M1_9,PB06
2014_11_23 08_54_27_M2_3,PB06
2014_03_19 01_19_19_M2_9,GO01
2014_06_07 07_48_35_M3_0,GO01
2014_09_01 20_41_31_M3_4,GO01
2014_04_11 21_21_58_M3_5,GO03
2014_11_19 11_21_38_M2_5,PB06
2020_11_18 05_31_39_M3_9,CO01
2014_03_25 22_08_46_M3_6,GO03
2015_01_27 09_59_44_M2_9,PB09
2014_07_02 12_08_48_M3_1,GO01
2014_03_20 11_40_16_M3_1,PB06
2014_05_28 00_41_24_M3_1,PB09
