Evento,Estacion
2015_10_04 03_49_49_M5_5,CO02
2020_09_01 10_31_52_M5_7,GO03
2020_04_03 08_48_00_M4_8,GO03
2015_09_19 09_07_09_M5_8,GO03
2015_09_19 22_35_30_M4_3,GO03
2020_09_11 07_35_57_M6_2,PB09
2015_09_28 06_05_43_M4_8,CO02
2014_03_18 14_58_44_M4_4,GO01
2015_11_11 02_46_19_M6_9,GO03
2015_11_07 10_53_44_M5_7,GO03
2015_09_17 04_10_27_M6_7,GO03
2014_03_24 19_59_42_M4_6,GO01
2014_03_04 02_49_45_M4_3,GO03
2015_09_16 23_38_01_M5_9,GO03
2016_07_25 14_59_29_M4_7,CO02
2016_02_16 15_49_34_M4_2,CO02
2015_05_29 04_28_16_M5_2,GO03
2016_06_03 13_46_53_M4_2,PB09
2014_04_15 16_21_17_M5_1,GO01
2014_08_23 22_32_23_M6_4,CO02
2014_06_19 09_38_35_M5_8,GO01
2014_05_30 15_32_27_M5_6,PB09
2014_04_16 03_14_11_M5_0,GO01
2014_04_14 13_35_41_M4_6,GO01
2014_12_15 00_32_19_M4_0,CO02
2016_07_19 05_18_40_M5_8,CO02
2020_01_09 16_25_56_M4_1,GO01
2016_04_16 11_51_42_M4_4,GO03
2014_04_03 11_50_45_M4_6,GO01
2014_03_24 11_40_43_M5_7,GO01
2014_04_11 12_00_51_M5_0,GO01
2016_02_25 11_49_13_M4_3,CO02
2014_12_03 09_38_36_M5_1,PB06
2019_08_02 00_09_15_M4_2,CO02
2015_02_22 05_40_18_M4_6,PB09
2014_06_19 19_59_45_M5_3,GO01
2015_11_07 11_51_29_M4_4,GO03
2015_09_17 05_44_39_M5_5,GO03
2016_02_10 00_33_05_M6_3,CO02
2018_08_01 06_19_05_M4_9,CO02
2017_09_04 21_55_19_M5_1,GO01
2014_04_21 07_10_38_M4_0,GO01
2016_06_06 13_21_59_M5_4,CO02
2018_09_23 05_32_11_M5_4,PB14
2014_04_02 16_50_29_M4_7,GO01
2014_04_24 04_56_50_M4_8,GO01
2019_01_30 07_44_45_M5_6,PB14
2015_09_19 12_52_20_M6_2,GO03
2019_11_04 21_53_25_M6_1,CO02
2017_04_28 15_58_34_M5_4,CO02
2015_09_17 04_02_10_M5_7,GO03
2017_02_12 16_21_10_M4_9,GO03
2015_10_03 06_26_55_M5_9,CO02
2015_09_16 23_16_09_M6_1,GO03
2020_11_12 10_24_45_M4_3,CO02
2019_08_02 00_55_16_M5_4,CO02
2014_06_20 20_22_27_M5_8,GO01
2015_09_19 13_08_57_M5_6,GO03
2014_03_18 20_17_34_M4_0,PB06
2015_09_17 01_41_05_M6_4,GO03
2020_10_21 09_13_06_M5_7,PB14
2014_03_15 09_31_18_M4_2,GO01
2019_09_26 20_31_28_M5_4,CO02
2015_09_17 12_14_35_M5_9,GO03
2014_04_10 00_10_32_M4_7,GO01
2015_09_22 07_13_00_M6_1,GO03
2015_09_29 16_46_15_M4_4,CO02
2015_09_19 21_27_27_M4_1,GO03
2017_04_24 21_38_30_M6_9,CO02
2015_01_23 01_25_37_M4_4,CO02
2014_04_02 04_46_19_M5_7,GO01
2017_01_08 00_33_47_M4_8,CO02
2015_09_21 17_40_00_M6_6,GO03
2015_10_04 10_11_56_M5_0,CO02
2020_02_13 05_50_38_M5_0,PB09
2020_09_01 07_01_26_M5_7,GO03
2014_06_24 11_23_31_M4_2,CO02
2015_09_21 19_08_03_M4_2,GO03
2015_12_27 23_47_10_M4_4,GO03
2019_04_26 06_22_34_M5_5,PB14
2015_09_16 22_54_32_M8_3,GO03
2014_06_07 19_10_58_M4_8,GO01
2016_05_29 23_17_51_M4_4,CO02
2016_05_26 20_36_50_M4_8,CO02
2015_08_12 00_14_39_M5_5,CO02
2020_10_28 14_53_10_M5_8,CO01
2014_10_23 23_38_51_M5_2,CO02
2015_11_07 07_04_31_M6_2,GO03
2014_04_19 20_54_43_M5_8,GO01
2020_09_01 21_09_17_M6_5,GO03
2016_02_10 13_15_01_M4_4,CO02
2016_06_05 05_51_11_M5_8,CO01
2014_05_05 02_52_03_M4_8,GO01
2014_04_03 09_08_57_M5_0,GO01
2014_04_21 13_39_04_M5_3,GO01
2014_04_05 04_05_02_M5_1,PB09
2019_03_28 21_00_51_M4_2,PB14
2014_03_17 05_11_33_M6_4,GO01
2015_09_19 05_06_47_M6_1,GO03
2015_11_06 08_44_07_M5_4,GO03
2014_04_04 07_57_32_M4_3,GO01
2014_03_24 11_32_15_M5_3,GO01
2017_10_07 10_37_24_M4_1,CO02
2014_04_03 15_08_07_M5_3,GO01
2015_12_13 01_17_39_M4_1,GO03
2015_07_23 00_27_36_M4_0,PB09
2017_02_03 00_52_26_M5_1,CO02
2014_03_23 18_20_01_M6_2,GO01
2014_10_24 00_58_46_M4_6,CO02
2019_12_03 07_29_30_M5_4,PB09
2015_09_20 23_00_11_M4_1,GO03
2014_03_24 12_22_19_M4_1,GO01
2020_09_06 01_16_58_M6_3,CO02
2014_07_13 20_54_14_M5_6,GO01
2015_10_09 22_18_19_M4_1,GO03
2014_04_02 04_19_48_M5_1,GO01
2016_04_16 06_05_22_M5_3,GO03
2019_03_07 15_34_28_M5_7,PB14
2014_04_04 01_37_51_M6_2,GO01
2015_09_17 16_46_21_M4_8,GO03
2015_09_16 23_09_06_M5_6,GO03
2015_10_15 11_03_11_M4_7,GO03
2014_03_16 21_16_28_M6_7,GO01
2014_04_20 07_54_56_M5_0,GO01
2016_06_25 10_47_31_M4_3,CO02
2018_06_29 22_17_35_M4_3,CO02
2015_09_17 12_14_34_M5_9,GO03
2016_06_05 09_30_52_M4_0,CO02
2016_10_27 20_32_55_M5_9,CO02
2014_03_24 11_26_37_M5_8,GO01
2014_04_03 02_56_04_M5_5,PB09
2014_05_12 11_54_28_M4_7,GO01
2019_06_03 08_42_17_M5_2,GO01
2020_09_01 05_29_38_M5_5,GO03
2014_04_01 23_57_56_M7_0,GO01
2014_03_23 20_23_04_M5_3,GO01
2015_10_23 14_47_58_M4_5,GO03
2015_09_17 03_34_50_M4_6,GO03
2015_09_17 03_10_42_M4_4,GO03
