id_event,Real,Estimation
2015_09_29 16_46_15_M4_4,4.40000009537,4.10652
2015_10_03 06_26_55_M5_9,5.90000009537,5.86154
2020_10_28 14_53_10_M5_8,5.80000019073,5.69987
2017_04_27 01_55_05_M3_9,3.90000009537,4.23879
2015_11_11 02_46_19_M6_9,6.90000009537,6.56991
2015_03_13 00_44_04_M3_8,3.79999995232,3.95569
2014_03_24 11_26_37_M5_8,5.80000019073,5.78885
2015_10_04 03_49_49_M5_5,5.5,5.6028
2014_02_03 12_36_27_M2_8,2.79999995232,2.82037
2015_04_29 11_34_16_M3_9,3.90000009537,4.2678
2014_12_08 23_16_22_M3_5,3.5,4.09268
2014_05_03 15_55_19_M2_5,2.5,2.40535
2014_02_07 18_35_16_M2_5,2.5,2.24503
2020_09_01 07_01_26_M5_7,5.69999980927,5.67154
2015_01_05 22_09_18_M3_3,3.29999995232,3.39199
2014_04_11 12_00_51_M5_0,5.0,5.29926
2016_06_05 05_51_11_M5_8,5.80000019073,5.78807
2014_11_19 11_21_38_M2_5,2.5,2.42534
2014_05_30 15_32_27_M5_6,5.59999990463,5.31283
2014_03_24 03_39_03_M2_9,2.90000009537,3.10621
2014_04_30 09_39_40_M3_7,3.70000004768,3.89893
2014_12_03 09_38_36_M5_1,5.09999990463,4.96032
2014_03_18 13_51_57_M2_3,2.29999995232,2.45206
2014_04_30 14_38_59_M3_5,3.5,3.68254
2015_02_17 22_11_47_M2_6,2.59999990463,2.80058
2014_01_08 07_13_04_M2_1,2.09999990463,2.65457
2017_04_24 21_38_30_M6_9,6.90000009537,6.46588
2015_09_16 23_38_01_M5_9,5.90000009537,6.19869
2014_03_18 20_32_18_M2_5,2.5,2.60176
2014_08_05 17_13_06_M3_0,3.0,3.09905
2015_01_27 09_59_44_M2_9,2.90000009537,3.11082
2014_10_19 08_02_23_M3_7,3.70000004768,3.84738
2015_01_02 12_08_42_M2_6,2.59999990463,2.45234
2015_10_09 22_18_19_M4_1,4.09999990463,4.28384
2014_05_12 11_54_28_M4_7,4.69999980927,5.03098
2014_03_10 08_59_25_M3_5,3.5,3.21506
2014_03_28 04_19_35_M2_3,2.29999995232,2.46291
2014_03_17 05_11_33_M6_4,6.40000009537,6.03867
2016_07_19 05_18_40_M5_8,5.80000019073,5.48778
2014_05_06 15_03_56_M2_7,2.70000004768,2.59501
2016_05_29 23_17_51_M4_4,4.40000009537,4.63084
2015_03_09 06_17_15_M3_5,3.5,3.36366
2015_02_07 18_41_42_M3_0,3.0,3.24164
2015_02_03 18_48_19_M2_8,2.79999995232,2.50477
2014_05_20 10_46_35_M2_7,2.70000004768,2.57798
2014_01_04 00_11_50_M5_7,5.69999980927,5.72443
2014_04_19 20_54_43_M5_8,5.80000019073,5.63902
2020_09_01 21_09_17_M6_5,6.5,6.17239
2015_06_01 04_27_52_M2_7,2.70000004768,2.51684
2014_06_09 13_57_28_M3_7,3.70000004768,3.69036
2014_04_19 18_39_51_M2_7,2.70000004768,2.39885
2015_09_19 13_08_57_M5_6,5.59999990463,5.46217
2015_02_19 16_18_37_M2_9,2.90000009537,3.33783
2014_09_01 20_41_31_M3_4,3.40000009537,3.63086
2015_04_12 09_41_53_M2_4,2.40000009537,2.4915
2014_01_18 01_29_56_M2_3,2.29999995232,2.34603
2014_04_13 13_28_11_M3_7,3.70000004768,3.45052
2014_04_02 04_19_48_M5_1,5.09999990463,5.31939
2014_06_20 18_05_34_M1_9,1.89999997616,3.04401
2015_11_07 10_53_44_M5_7,5.69999980927,6.00496
2014_05_15 06_10_34_M2_7,2.70000004768,3.00824
2015_09_17 12_14_35_M5_9,5.90000009537,5.74123
2014_05_28 00_41_24_M3_1,3.09999990463,3.22406
2014_10_24 00_58_46_M4_6,4.59999990463,4.62171
2014_04_28 11_03_49_M3_5,3.5,3.64553
2014_04_15 16_21_17_M5_1,5.09999990463,5.17385
2014_04_02 16_50_29_M4_7,4.69999980927,4.2409
2014_03_19 04_49_50_M3_6,3.59999990463,3.53137
2020_02_13 05_50_38_M5_0,5.0,5.40433
2020_11_18 05_31_39_M3_9,3.90000009537,3.71327
2018_09_23 05_32_11_M5_4,5.40000009537,5.58155
